
央视,#genre#
TVB 黄金华剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=golden-chinese-drama
TVB 星河台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-xinghe
TVB 娱乐新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=TVB ylxw
TVB 千禧经典台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-classic
TVB 无线财经体育资讯台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-finance
TVB 粤语片台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-yueyu
TVB 明珠台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=pearl
TVB 亚洲剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-asia-drama
TVB 华语剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvb-drama
星空卫视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=star-xing-kong
香港卫视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hks
HKC 18台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hkc18
凤凰卫视 资讯台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=phtv-info
凤凰卫视 中文台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=phtv-cn
凤凰卫视 香港台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=phtv-hk
天映频道,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=celestial
天映经典,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cccm
J2,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=j2
ViuTV,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=viutv
ViuTV6,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=viutv6
HOY TV,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hoytv
HOY 资讯台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hoy-info
HOY国际财经,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=hoy-ibc
澳门卫视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=mstv
澳亚卫视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=mastv
澳门莲花卫视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=lotustv
港台电视 31,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=rthk31
港台电视 32,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=rthk32
美国中文电视,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=sinovision

Now系列,#genre#
Now 直播台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-direct
Now 财经台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-finance
Now 新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-news
Now报价台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-data
Now jelli紫金国际台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-jelli
Now华剧台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-chinese-drama
NowViu剧集台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-viu-drama
Now 星影台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-baogu-superstars
Now 爆谷台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=baogu-movies
Now Sports精选,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-prime
Now Sports 1,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-1
Now Sports 2,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-2
Now Sports 3,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-3
Now Sports 4,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-4
Now Sports 5,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-5
Now Sports 6,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-6
Now Sports 7,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-7
Now Sports Plus,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-plus
Now Sports 英超1,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league1
Now Sports 英超2,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league2
Now Sports 英超3,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league3
Now Sports 英超4,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league4
Now Sports 英超5,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league5
Now Sports 英超6,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=now-sports-premier-league6
