山东联通,#genre#
黑龙江卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.93:8000
东南卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.105:8000
旅游卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.35:8000
重庆卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.38:8000
广西卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.40:8000
云南卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.42:8000
河南卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.44:8000
吉林卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.46:8000
江西卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.47:8000
山西卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.48:8000
陕西卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.49:8000
四川卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.50:8000
甘肃卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.52:8000
宁夏卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.53:8000
青海卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.54:8000
西藏卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.56:8000
兵团卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.57:8000
内蒙古卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.58:8000
山东教育卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.59:8000
新疆卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.60:8000
农林卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.70:8000
河北卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.112:8000
贵州卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.113:8000
厦门卫视,http://sgl.vpsyun.cc:4000/udp/239.253.238.106:8000
CCTV1,http://vpn.1023.ltd:8888/udp/239.253.224.77:8000
CCTV2,http://vpn.1023.ltd:8888/udp/239.253.224.234:8000
CCTV3,http://vpn.1023.ltd:8888/udp/239.253.224.4:8000
CCTV4,http://vpn.1023.ltd:8888/udp/239.253.224.111:8000
CCTV5,http://vpn.1023.ltd:8888/udp/239.253.224.6:8000
CCTV5+,http://vpn.1023.ltd:8888/udp/239.253.224.80:8000
CCTV6,http://vpn.1023.ltd:8888/udp/239.253.224.7:8000
CCTV7,http://vpn.1023.ltd:8888/udp/239.253.224.235:8000
CCTV8,http://vpn.1023.ltd:8888/udp/239.253.224.9:8000
CCTV9,http://vpn.1023.ltd:8888/udp/239.253.224.79:8000
CCTV10,http://vpn.1023.ltd:8888/udp/239.253.224.236:8000
